name,star,comment,class,address,latitude,longitude
禮萊廣場,4.1,446,百貨公司,新北市淡水區中正路一段2號,25.1758175,121.4285907
舍樂力企業有限公司,4.2,44,五金用品店,新北市八里區觀海大道155號,25.1620773,121.42377
雅登廚飾國際有限公司,4.8,6,家居用品店,台灣新北市 八里區頂寮二街118號之1,25.1270864,121.4490066
翊珍生鮮大賣場,4.2,67,超級市場,新北市八里區龍米路二段71號,25.1411717,121.4478154
日月光廣場,4.1,4,購物中心,新北市土城區學府路二段210號,24.9787439,121.4451593
兆昕時尚精品有限公司,0.0,0,百貨公司,台灣省新北市 土城區中央路二段189巷10號,24.9755665,121.4425722
大西洋國際企業有限公司,0.0,0,百貨公司,"台灣省新北市 土城區和平路4號之3, 1樓",24.974643,121.4425413
SHOWBA小北百貨-新北土城中央店,4.5,354,五金用品店,新北市土城區中央路二段326號,24.972624,121.4402383
迪斯尼購物廣場,3.8,49,購物中心,新北市土城區青雲路152號,24.9831458,121.4585622
寶安生活百貨,4.5,67,家居用品店,新北市新店區寶安街16巷2號,24.9815431,121.5422839
麗寶百貨廣場,3.9,5,百貨公司,新北市板橋區縣民大道二段3號,25.0123893,121.4618696
聯昇鑫企業有限公司,3.5,2,百貨公司,台北市信義區吳興街40號,25.0312474,121.5599408
Diffa 誠品生活 裕隆城店1F,3.0,3,百貨公司,新北市新店區中興路三段70號1 樓,24.978061,121.546478
J-MART佳瑪,4.1,3,百貨公司,新北市新店區建國路268號,24.9832192,121.5377541
Der ZÖMAR 新店門市,5.0,1,百貨公司,新北市新店區中興路三段70號1F,24.9779832,121.5465116
誠品生活新店,4.2,1,購物中心,新北市新店區中興路三段70號,24.9779598,121.5464751
家乘生活百貨-新店 LIFEPLUS MART,4.6,77,家居用品店,新北市新店區北新路一段179號,24.964408,121.539998
京站時尚廣場 小碧潭店,4.1,4,購物中心,新北市新店區中央路157號5樓,24.9723512,121.5307121
威瑪百貨股份有限公司,4.3,12,百貨公司,新北市新莊區幸福路763號,25.0488499,121.447869
自信百貨有限公司好朋友百貨,4.2,997,家居用品店,新北市新莊區自信街39號,25.048371,121.454456
鴻金寶麻吉廣場,4.0,801,百貨公司,新北市新莊區民安路188巷5號,25.0230867,121.4248024
京美百貨公司,3.6,12,商店,新北市新莊區新樹路679-685號,25.0026366,121.4324809
美利國際事業股份有限公司,0.0,0,百貨公司,新北市新莊區新北大道二段217號7樓,25.0606504,121.4627868
金義發行,0.0,0,百貨公司,新北市新莊區新莊路419號,25.0333805,121.4506648
亞聚企業有限公司,5.0,1,百貨公司,新北市 新莊區中正路911號1樓,25.0212317,121.4110174
宏祥禮品,0.0,0,百貨公司,新北市新莊區福營路125巷17號,25.0310488,121.4336745
DAISO大創百貨 新莊鴻金寶店,4.0,602,百貨公司,新北市新莊區民安路188巷5號2樓,25.0231531,121.424816
信德百貨襪子專賣店,4.5,48,百貨公司,新北市新莊區自強街15號,25.0460473,121.4546848
子宸實業社,0.0,0,百貨公司,新北市新莊區光明路18號,25.0149765,121.4237171
新莊幸福生活百貨,4.5,38,家居用品店,新北市新莊區幸福東路53號,25.0492922,121.4653427
J-MART 佳瑪 新莊店,4.1,5,百貨公司,新北市新莊區幸福路763號,25.0488294,121.4478691
Future Lab. 未來實驗室 新莊宏匯店,4.9,77,百貨公司,新北市新莊區新北大道四段3號2樓,25.0596297,121.4494117
好朋友百貨商場,4.3,1,家居用品店,新北市新莊區西盛街167號,25.0176438,121.4282484
Molinari Living 義大利沙發總代理 新莊旗艦店 台北沙發 台北家具 義大利進口沙發 義大利進口家具,4.5,2,百貨公司,新北市新莊區思源路553號3號樓B06,25.0583546,121.4593112
小北百貨-新北新莊四維店,4.3,586,五金用品店,新北市新莊區四維路97巷7號,25.0237293,121.4238281
SHOWBA小北百貨-新北新莊中港二店,4.5,267,五金用品店,新北市新莊區中港路195、197、199 號,25.0417153,121.4547623
五一八生活百貨 福營店,4.3,548,商店,新北市新莊區福營路589號,25.0231386,121.4196895
HOLA 和樂家居 新莊宏匯店,4.8,11,家居用品店,新北市新莊區新北大道四段3號1樓,25.0596783,121.4495726
JC PARK食尚廣場 新莊幸福館,4.2,2,購物中心,新北市新莊區幸福路746號,25.0492534,121.4484669
宜得利家居 新莊店,4.1,586,家居用品店,"樓, 佳瑪百貨新莊店No. 763號幸福路新莊區新北市242",25.0488719,121.4478707
誠正文化廣場書店,4.3,826,百貨公司,新北市新莊區中華路二段20-1號,25.0447147,121.4534375
鑫富國生活百貨館,4.1,284,家居用品店,新北市新莊區富國路104號,25.0256012,121.4207268
518生活百貨新莊裕民店,4.2,246,五金用品店,新北市新莊區裕民街85巷22號,25.0232381,121.4194882
